FrequencyError,SlopeError,TrackingAccuracy,SpectralAmplitude,PitchStrength,RMSAmplitude,FFR
-1.0445905,0.84658459,1.0319256,0.88975938,1.2803924,0.16334821,1
-1.1549406,0.88667405,1.0576473,1.3050597,1.0302819,0.81871202,1
-0.7981794,0.56352573,0.79941135,0.98914609,0.91367817,0.59874458,1
-0.97932731,0.83868834,0.99015774,0.66572347,0.9972288,0.79019981,1
-0.69644167,0.86176894,0.87912732,-0.1243748,0.6670928,-0.78037726,1
-1.0074599,0.77074264,1.0133421,0.86073803,0.77228142,1.3646989,1
-1.1303128,0.89120044,1.0674741,1.8620655,1.0687752,1.908868,1
-1.0870496,0.85607605,1.054989,0.84457928,0.052506878,0.59399654,1
-1.0777228,0.84882785,1.0500704,0.40707404,1.4600135,-0.35934216,1
-0.82331474,0.86086166,0.95432052,0.44557321,0.94350568,0.30691525,1
-0.84400501,0.83988474,0.98060962,1.9863279,1.1464859,2.070279,1
-0.9506013,0.69595752,0.74516535,0.085877568,0.540748,-0.091124831,1
-1.1362225,0.94687303,1.0645515,0.80280387,1.4738764,0.42601897,1
-0.8719353,0.83489973,0.96812956,0.15471643,1.5684928,-0.11630003,1
-0.4049048,1.0231537,0.70635203,0.67033628,-0.83847078,1.1315104,1
-1.2379053,0.54417392,1.0614501,2.1207604,2.1838179,1.1387358,1
-0.73757883,1.0173511,0.94066949,0.6655757,0.7987264,0.078719916,1
-1.1455392,0.74464113,1.0544259,2.6654739,1.5209618,1.9969925,1
0.13007212,0.88220748,0.53944445,0.069503382,-0.7220139,-0.3635933,1
-1.0806471,0.66036454,1.0409329,-0.0304868,0.55240162,-0.42744969,1
-0.33800116,-1.3819344,0.19982557,-1.2445441,-0.037269603,-1.0763352,0
0.30624811,-1.1159542,-0.29104848,-0.34326558,-1.1948525,0.076094357,0
1.4434395,-1.7083728,-0.42343165,-1.0422208,-1.5497768,-1.1933527,0
0.95471598,-0.7419189,-1.2339759,-0.66995833,-0.93058815,-0.33479386,0
0.96684379,-0.42045551,-1.6776129,-1.2046052,-1.0472744,-1.3093017,0
0.52781264,-0.76796059,-1.5629866,-0.55058051,-0.83625639,-8.19E-03,0
1.3795071,-2.2467939,0.049397624,-0.48357562,-0.74849811,0.40591682,0
2.0688599,0.11720777,-1.1008137,-1.4965343,-1.1406492,-1.3816543,0
0.50865262,-0.0323226,-1.164337,0.18465325,0.63536845,0.22305337,0
0.71510758,0.40077511,-0.59759716,-1.7090916,-0.98471159,-2.2278393,0
0.96494868,-2.3382987,0.17959984,-1.5234089,-1.6152786,-1.7632922,0
0.82009183,-1.6461898,-0.19200841,-0.73232922,-0.1502045,-1.1552011,0
2.0287345,0.19860302,-0.51303839,-0.94624444,-0.31124506,-0.31475277,0
-0.35560011,-0.53341585,-1.1872288,-0.70495481,-0.3256571,-0.35708161,0
0.2800362,0.12633034,-0.83882679,-0.50215549,0.39451411,0.10506221,0
1.1252157,-1.0257953,-1.1909882,-0.64388356,-0.71806468,-0.44393944,0
0.18598623,-0.33991769,-1.6516603,-1.0120847,-0.94462128,-1.3460159,0
0.85445959,-0.43163191,-1.3744291,-0.90947398,-1.4940482,-0.92492634,0
1.8241721,-2.5809391,-0.025876924,-0.56352415,-1.6152786,-0.1164201,0
1.4965446,-0.86983427,-1.0484837,-1.0716544,-0.88725316,-0.41555029,0
1.0118664,-0.22681777,-0.98088162,-0.79593695,-0.76968173,-0.80980042,0
-0.34856217,-0.48047504,-1.576405,-0.47057482,-0.6869179,-0.57352121,0
-0.79167518,0.46690626,0.76606806,0.21112704,0.43722259,0.191475,0
-0.23555003,-0.52670603,-1.2166474,0.39899419,0.072646846,0.41263903,0
1.1773691,-0.71129099,-1.5316459,0.44148288,-0.37007263,1.5479953,0
-0.73495558,0.86148977,0.71707285,0.74079258,0.37646246,2.0704718,0
0.34489743,0.54326665,-0.25164085,-0.3396732,-0.41601793,-0.21783501,0
-0.1025586,0.99798933,0.71940431,-0.35300781,-0.55277922,-0.31245739,0